policy_id,vehicle_id,period_month,state_code,region,sales_channel,business_type,vehicle_make,vehicle_model,coverage_type,loss_category,catastrophe_flag,exposure_units,earned_premium,on_level_premium,claim_count,incurred_loss
POL1000042,VEH2000042,2023-01,AZ,West,Direct,New Business,Falcon,Falcon EV,Comprehensive,Other,No,0.943,122.84,138.1,0,0.0
POL1000155,VEH2000155,2023-01,AZ,West,Independent Agent,New Business,Summit,Summit Ridge,Comprehensive,Other,No,0.772,90.87,103.14,0,0.0
POL1000157,VEH2000157,2023-01,AZ,West,Partner,Renewal,Cascade,Cascade Snow,Comprehensive,Other,No,0.729,58.75,66.08,0,0.0
POL1000711,VEH2000711,2023-01,AZ,West,Partner,New Business,Orion,Orion GT,Comprehensive,Other,No,0.794,113.9,130.67,0,0.0
POL1001024,VEH2001024,2023-01,AZ,West,Partner,Renewal,Falcon,Falcon Prime,Comprehensive,Other,No,0.795,96.43,108.52,0,0.0
POL1001042,VEH2001042,2023-01,AZ,West,Direct,New Business,Cascade,Cascade Rain,Comprehensive,Other,No,0.779,128.28,146.26,0,0.0
POL1001595,VEH2001595,2023-01,AZ,West,Direct,Renewal,Titan,Titan Max,Comprehensive,Other,No,0.901,80.51,92.8,0,0.0
POL1002450,VEH2002450,2023-01,AZ,West,Direct,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.816,117.57,127.43,0,0.0
POL1005313,VEH2005313,2023-01,AZ,West,Direct,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.728,100.48,111.64,1,316.84
POL1006263,VEH2006263,2023-01,AZ,West,Independent Agent,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.778,98.89,108.65,0,0.0
POL1006419,VEH2006419,2023-01,AZ,West,Independent Agent,New Business,Summit,Summit Max,Comprehensive,Other,No,0.917,114.32,129.84,0,0.0
POL1006532,VEH2006532,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion Touring,Comprehensive,Other,No,0.878,74.85,85.22,0,0.0
POL1006637,VEH2006637,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex City,Comprehensive,Other,No,0.892,142.36,161.56,0,0.0
POL1007069,VEH2007069,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.83,120.04,138.65,0,0.0
POL1007359,VEH2007359,2023-01,AZ,West,Independent Agent,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.917,92.93,105.28,0,0.0
POL1007831,VEH2007831,2023-01,AZ,West,Independent Agent,New Business,Metro,Metro Wagon,Comprehensive,Other,No,0.909,97.41,112.7,0,0.0
POL1007955,VEH2007955,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion GT,Comprehensive,Other,No,0.894,99.55,112.6,0,0.0
POL1008060,VEH2008060,2023-01,AZ,West,Partner,Renewal,Falcon,Falcon S,Comprehensive,Other,No,0.922,107.69,122.93,0,0.0
POL1008489,VEH2008489,2023-01,AZ,West,Independent Agent,Renewal,Metro,Metro One,Comprehensive,Other,No,0.74,76.99,90.3,0,0.0
POL1008649,VEH2008649,2023-01,AZ,West,Independent Agent,Renewal,Falcon,Falcon Prime,Comprehensive,Other,No,0.835,131.0,149.8,0,0.0
POL1009428,VEH2009428,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion Base,Comprehensive,Other,No,0.88,92.26,102.55,0,0.0
POL1009806,VEH2009806,2023-01,AZ,West,Partner,Renewal,Nova,Nova Spark,Comprehensive,Other,No,0.952,82.96,92.55,0,0.0
POL1011267,VEH2011267,2023-01,AZ,West,Direct,New Business,Falcon,Falcon EV,Comprehensive,Other,No,0.771,76.49,85.75,0,0.0
POL1011955,VEH2011955,2023-01,AZ,West,Direct,Renewal,Nova,Nova Glide,Comprehensive,Other,No,0.957,72.31,84.41,0,0.0
POL1012277,VEH2012277,2023-01,AZ,West,Partner,Renewal,Titan,Titan Work,Comprehensive,Other,No,0.949,157.78,177.35,0,0.0
POL1012290,VEH2012290,2023-01,AZ,West,Direct,New Business,Apex,Apex City,Comprehensive,Other,No,0.873,94.67,107.08,0,0.0
POL1014084,VEH2014084,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.721,69.36,77.3,0,0.0
POL1014396,VEH2014396,2023-01,AZ,West,Independent Agent,Renewal,Apex,Apex LX,Comprehensive,Other,No,0.729,88.38,99.65,0,0.0
POL1015167,VEH2015167,2023-01,AZ,West,Independent Agent,Renewal,Orion,Orion Base,Comprehensive,Other,No,0.97,85.57,97.24,0,0.0
POL1016445,VEH2016445,2023-01,AZ,West,Direct,New Business,Falcon,Falcon S,Comprehensive,Other,No,0.868,108.4,122.21,0,0.0
POL1016776,VEH2016776,2023-01,AZ,West,Direct,Renewal,Apex,Apex City,Comprehensive,Other,No,0.79,105.33,115.62,0,0.0
POL1017008,VEH2017008,2023-01,AZ,West,Direct,New Business,Nova,Nova X,Comprehensive,Other,No,0.875,91.37,103.14,0,0.0
